sale_id,business_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,event_ts
S000002503,2026-07-02,ST024,C000422,P00226,2,4320.82,0,WALLET,2026-07-02T09:05:00
S000002504,2026-07-02,ST025,C001281,P00245,4,3514.48,10,CARD,2026-07-02T16:22:00
S000002505,2026-07-02,ST022,C001764,P00073,5,4747.54,0,WALLET,2026-07-02T18:57:00
S000002506,2026-07-02,ST001,C001184,P00239,4,895.02,5,CARD,2026-07-02T11:17:00
S000002507,2026-07-02,ST001,C000617,P00253,1,3265.89,0,UPI,2026-07-02T10:03:00
S000002508,2026-07-02,ST002,C000756,P00287,1,6229.97,20,CARD,2026-07-02T14:46:00
S000002509,2026-07-02,ST030,C001175,P00167,5,5432.25,0,CASH,2026-07-02T12:43:00
S000002510,2026-07-02,ST005,C001520,P00286,4,989.05,0,CARD,2026-07-02T13:15:00
S000002511,2026-07-02,ST017,C001825,P00166,4,5464.18,20,UPI,2026-07-02T17:07:00
S000002512,2026-07-02,ST026,C000846,P00059,4,830.7,15,WALLET,2026-07-02T12:15:00
S000002513,2026-07-02,ST011,C001674,P00228,4,3585.13,0,UPI,2026-07-02T19:58:00
S000002514,2026-07-02,ST017,C000907,P00176,5,4798.49,0,WALLET,2026-07-02T18:16:00
S000002515,2026-07-02,ST026,C001434,P00036,1,928.39,15,WALLET,2026-07-02T10:47:00
S000002516,2026-07-02,ST020,C001805,P00041,3,919.91,5,CARD,2026-07-02T19:48:00
S000002517,2026-07-02,ST023,C000419,P00206,4,2981.65,20,CARD,2026-07-02T12:54:00
S000002518,2026-07-02,ST014,C001172,P00254,2,3746.16,20,CASH,2026-07-02T16:24:00
S000002519,2026-07-02,ST002,C000603,P00052,1,2498.75,5,CARD,2026-07-02T13:54:00
S000002520,2026-07-02,ST030,C000616,P00032,4,1508.29,15,CARD,2026-07-02T17:35:00
S000002521,2026-07-02,ST004,C001781,P00271,5,4004.88,5,WALLET,2026-07-02T21:28:00
S000002522,2026-07-02,ST010,C001475,P00058,4,784.71,20,CASH,2026-07-02T21:12:00
S000002523,2026-07-02,ST014,C001045,P00252,5,2446.12,0,CARD,2026-07-02T13:39:00
S000002524,2026-07-02,ST019,C001828,P00163,1,468.27,0,WALLET,2026-07-02T09:50:00
S000002525,2026-07-02,ST022,C001269,P00183,3,5047.63,0,WALLET,2026-07-02T11:06:00
