sale_id,business_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,event_ts
S000000001,2026-07-01,ST002,C001969,P00151,5,5125.79,15,CARD,2026-07-01T21:46:00
S000000002,2026-07-01,ST004,C000140,P00225,4,2291.71,15,CARD,2026-07-01T16:08:00
S000000003,2026-07-01,ST028,C001981,P00279,4,1221.97,10,CASH,2026-07-01T09:45:00
S000000004,2026-07-01,ST028,C001698,P00040,2,6037.12,10,UPI,2026-07-01T19:04:00
S000000005,2026-07-01,ST004,C000222,P00024,4,5227.35,10,UPI,2026-07-01T21:43:00
S000000006,2026-07-01,ST010,C000954,P00133,1,4486.23,15,WALLET,2026-07-01T09:22:00
S000000007,2026-07-01,ST010,C000527,P00124,1,2903.79,5,WALLET,2026-07-01T18:59:00
S000000008,2026-07-01,ST030,C000485,P00282,1,1175.29,10,WALLET,2026-07-01T17:57:00
S000000009,2026-07-01,ST012,C001755,P00246,1,2469.19,0,CARD,2026-07-01T20:45:00
S000000010,2026-07-01,ST030,C001594,P00246,1,2469.19,20,WALLET,2026-07-01T16:23:00
S000000011,2026-07-01,ST028,C000846,P00247,1,764.96,0,CARD,2026-07-01T13:45:00
S000000012,2026-07-01,ST026,C001279,P00031,5,2536.83,10,CASH,2026-07-01T11:10:00
S000000013,2026-07-01,ST015,C001824,P00151,2,5125.79,0,UPI,2026-07-01T11:51:00
S000000014,2026-07-01,ST006,C001784,P00078,4,920.47,5,UPI,2026-07-01T09:21:00
S000000015,2026-07-01,ST023,C000548,P00177,5,3215.02,15,WALLET,2026-07-01T20:01:00
S000000016,2026-07-01,ST016,C001832,P00193,2,1388.57,10,WALLET,2026-07-01T13:53:00
S000000017,2026-07-01,ST019,C000699,P00294,1,1157.16,15,CARD,2026-07-01T10:52:00
S000000018,2026-07-01,ST023,C000849,P00029,2,2357.94,10,WALLET,2026-07-01T13:10:00
S000000019,2026-07-01,ST018,C000910,P00247,4,764.96,15,CASH,2026-07-01T13:42:00
S000000020,2026-07-01,ST012,C001547,P00172,2,521.64,0,CARD,2026-07-01T19:07:00
S000000021,2026-07-01,ST003,C000015,P00129,4,4087.75,10,CASH,2026-07-01T12:57:00
S000000022,2026-07-01,ST004,C000168,P00265,2,404.48,0,CARD,2026-07-01T10:49:00
S000000023,2026-07-01,ST014,C000496,P00080,2,1730.23,10,CARD,2026-07-01T20:57:00
S000000024,2026-07-01,ST030,C001302,P00223,4,4775.33,15,CASH,2026-07-01T09:46:00
S000000025,2026-07-01,ST024,C001042,P00079,4,2621.56,10,CARD,2026-07-01T21:36:00
S000000026,2026-07-01,ST005,C000055,P00168,1,2112.49,0,CARD,2026-07-01T10:06:00
S000000027,2026-07-01,ST029,C000022,P00260,4,2770.77,20,UPI,2026-07-01T19:11:00
S000000028,2026-07-01,ST008,C000461,P00143,4,575.49,0,CARD,2026-07-01T11:13:00
S000000029,2026-07-01,ST029,C001823,P00269,1,3914.25,15,CASH,2026-07-01T19:11:00
S000000030,2026-07-01,ST020,C001400,P00157,1,2511.92,20,CARD,2026-07-01T16:05:00
S000000031,2026-07-01,ST027,C000091,P00191,1,4463.98,0,CARD,2026-07-01T14:53:00
S000000032,2026-07-01,ST006,C000429,P00096,2,3350.3,0,CASH,2026-07-01T13:08:00
S000000033,2026-07-01,ST025,C001865,P00090,5,100.91,15,CARD,2026-07-01T09:38:00
S000000034,2026-07-01,ST025,C000017,P00035,2,543.42,0,CASH,2026-07-01T21:19:00
