sale_id,business_date,store_id,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,event_ts
S000007507,2026-07-04,ST025,C000287,P00078,1,920.47,5,CARD,2026-07-04T17:35:00
S000007508,2026-07-04,ST010,C000532,P00292,4,594.48,20,CASH,2026-07-04T15:40:00
S000007509,2026-07-04,ST025,C000844,P00215,3,6157.31,0,WALLET,2026-07-04T18:14:00
S000007510,2026-07-04,ST022,C001073,P00213,2,4611.51,0,UPI,2026-07-04T09:04:00
S000007511,2026-07-04,ST010,C001598,P00114,2,5146.05,0,UPI,2026-07-04T19:48:00
S000007512,2026-07-04,ST029,C000298,P00049,1,2267.29,0,CASH,2026-07-04T09:12:00
S000007513,2026-07-04,ST018,C000163,P00201,2,2651.68,5,CASH,2026-07-04T13:02:00
S000007514,2026-07-04,ST008,C000884,P00238,1,4673.59,0,UPI,2026-07-04T21:52:00
S000007515,2026-07-04,ST001,C000214,P00193,2,1388.57,10,CASH,2026-07-04T12:45:00
S000007516,2026-07-04,ST030,C000511,P00211,4,1598.44,10,CARD,2026-07-04T10:18:00
S000007517,2026-07-04,ST006,C001277,P00177,3,3215.02,5,CARD,2026-07-04T14:19:00
S000007518,2026-07-04,ST014,C000852,P00088,3,5397.89,15,CARD,2026-07-04T17:10:00
S000007519,2026-07-04,ST015,C001163,P00060,2,1979.3,0,CARD,2026-07-04T13:36:00
S000007520,2026-07-04,ST025,C000508,P00263,1,953.87,0,CASH,2026-07-04T19:33:00
S000007521,2026-07-04,ST006,C001457,P00047,4,5684.89,0,CARD,2026-07-04T09:52:00
S000007522,2026-07-04,ST011,C001219,P00246,4,2469.19,5,WALLET,2026-07-04T12:00:00
S000007523,2026-07-04,ST003,C001516,P00096,4,3350.3,20,UPI,2026-07-04T10:36:00
S000007524,2026-07-04,ST029,C001367,P00279,3,1221.97,0,UPI,2026-07-04T11:13:00
S000007525,2026-07-04,ST018,C001935,P00157,4,2511.92,10,CASH,2026-07-04T15:16:00
S000007526,2026-07-04,ST005,C000282,P00201,4,2651.68,10,CARD,2026-07-04T16:03:00
S000007527,2026-07-04,ST030,C001483,P00025,4,654.83,0,WALLET,2026-07-04T21:48:00
S000007528,2026-07-04,ST007,C001313,P00128,2,4758.01,20,WALLET,2026-07-04T18:12:00
S000007529,2026-07-04,ST025,C001512,P00098,3,3875.14,0,CASH,2026-07-04T09:35:00
S000007530,2026-07-04,ST006,C001590,P00174,4,1777.27,10,CARD,2026-07-04T20:31:00
S000007531,2026-07-04,ST014,C001476,P00184,5,5148.09,0,WALLET,2026-07-04T15:42:00
S000007532,2026-07-04,ST026,C000719,P00298,2,5801.55,20,CASH,2026-07-04T12:42:00
S000007533,2026-07-04,ST003,C000102,P00195,3,5072.66,20,CASH,2026-07-04T14:25:00
S000007534,2026-07-04,ST010,C000473,P00159,4,2836.83,20,CASH,2026-07-04T16:55:00
S000007535,2026-07-04,ST001,C001298,P00169,5,1922.69,20,CARD,2026-07-04T11:57:00
S000007536,2026-07-04,ST014,C001316,P00031,4,2536.83,0,UPI,2026-07-04T14:51:00
S000007537,2026-07-04,ST005,C000489,P00234,5,5373.1,0,CARD,2026-07-04T19:19:00
S000007538,2026-07-04,ST028,C001831,P00292,4,594.48,20,UPI,2026-07-04T20:37:00
S000007539,2026-07-04,ST016,C001781,P00045,2,6722.43,0,CASH,2026-07-04T14:54:00
